retraction_id,paper_id,subjects,title,abstract,retraction_comment,page_count
1611.09506v2,1611.09506v1,Algebraic Geometry (math.AG),On the existence of Ulrich bundles on geometrically ruled surfaces,"Let $S$ be a geometrically ruled surface with invariant $e$ on a curve $C$. We deal with Ulrich line bundles and $\mu$-stable special Ulrich bundles of rank $2$ on $S$ when $e\ge0$, slightly extending a recent result due to M. Aprodu, L. Costa and R.M. Mir_-Roig. If $C$ is elliptic, we also prove that $S$ always supports Ulrich bundles of rank at most $2$, without any restriction on $e$. Finally, we show that in many cases $S$ supports families of dimension $p$ of pairwise non-isomorphic, indecomposable, Ulrich bundles for arbitrary large $p$.",This paper has been withdrawn by the author due to a mistake in the proof of Theorem 1.3 which is not true in the form indicated in the paper. The paper will be resubmitted after a complete revision,13
1802.03831v3,1802.03831v2,Logic (math.LO),Algorithmic Randomness For Amenable Groups,We develop the theory of algorithmic randomness for the space $A^G$ where $A$ is a finite alphabet and $G$ is a computable amenable group. We give an effective version of the Shannon-McMillan-Breiman theorem in this setting. We also extend a result of Simpson equating topological entropy and Hausdorff dimension. This proof makes use of work of Ornstein and Weiss which we also present.,The proof of theorem 7 is incorrect - it only shows the desired result on a computable subsequence,16
2006.06655v3,2006.06655v2,Representation Theory (math.RT),$_$-Tilting Finite Algebras With Nonempty Left Or Right Parts Are Representation-Finite,Let $\Lambda$ be a finite dimensional algebra such that $\mathcal{L}_{\Lambda}$ or $\mathcal{R}_{\Lambda}\neq\emptyset$. Then $\Lambda$ is $\tau$-tilting finite if and only if $\Lambda$ is representation-finite.,Main result is incorrect due to a misapplication of Proposition 2.7. Counterexamples have been found,7
2307.11501v2,2307.11501v1,Analysis of PDEs (math.AP),The lack of exponential stability of a Bresse system subjected only to two dampings,"In this paper, we study the indirect boundary stabilization of a Bresse system with only two dissipation laws. This system, which models the dynamics of a beam, is a hyperbolic system with three wave speeds. We study the asymptotic behaviour of the eigenvalues and of the eigenvectors of the underlying operator in the case of three distinct wave velocities which is not physically relevant. Since the imaginary axis is proved to be an asymptote for one family of eigenvalues, the stability can not be exponential. Of course, this paper is only interesting from a mathematical point of view.",We have realized that Theorem 2.4 is not correct,18
1504.05173v4,1504.05173v3,Algebraic Geometry (math.AG),Cycles that are incidence equivalent to zero,"In this paper, we apply incidence divisors constructed through Archimedean height paring to prove that Griffiths' conjecture on incidence equivalence is correct for a smooth projective variety with first non-vanishing cohomology. (Incidence divisor is insignificant. Theorem 5.1 is significant,  but the proof of it presented here  is incorrect.)",The proof of theorem 5.1 is incorrect,17
1209.1033v3,1209.1033v2,Information Theory (cs.IT),The Annealing Sparse Bayesian Learning Algorithm,In this paper we propose a two-level hierarchical Bayesian model and an annealing schedule to re-enable the noise variance learning capability of the fast marginalized Sparse Bayesian Learning Algorithms. The performance such as NMSE and F-measure can be greatly improved due to the annealing technique. This algorithm tends to produce the most sparse solution under moderate SNR scenarios and can outperform most concurrent SBL algorithms while pertains small computational load.,"The paper contains some serious flaws. The update equation in the annealing process is too empirical to suit practical usage. The performance comparison is somewhat biasing due to the selection of the convergence critia. This paper need to be revised in order to be printed on the arxiv.org. I am sorry for the inconvenience. [REDACTED-NAME], 2013-03-07",4
2401.01246v2,2401.01246v1,Quantum Physics (quant-ph),Analysis of quantum Krylov algorithms with errors,"This work provides an error analysis of quantum Krylov algorithms based on real-time evolutions, subject to generic errors in the outputs of the quantum circuits. We establish a collective noise rate to summarize those errors, and prove that the resulting errors in the ground state energy estimates are leading-order linear in that noise rate. This resolves a misalignment between known numerics, which exhibit this linear scaling, and prior theoretical analysis, which only provably obtained square-root scaling. Our main technique is expressing generic errors in terms of an effective target Hamiltonian studied in an effective Krylov space. These results provide a theoretical framework for understanding the main features of quantum Krylov errors.","There is an error in eq. (26) of v1 that invalidates the main result. A new version is being prepared, but in the meantime the paper is withdrawn",21
2209.05150v2,2209.05150v1,Machine Learning (cs.LG),Bounding The Rademacher Complexity of Fourier Neural Operator,"A Fourier neural operator (FNO) is one of the physics-inspired machine learning methods. In particular, it is a neural operator. In recent times, several types of neural operators have been developed, e.g., deep operator networks, GNO, and MWTO. Compared with other models, the FNO is computationally efficient and can learn nonlinear operators between function spaces independent of a certain finite basis. In this study, we investigated the bounding of the Rademacher complexity of the FNO based on specific group norms. Using capacity based on these norms, we bound the generalization error of the FNO model. In addition, we investigated the correlation between the empirical generalization error and the proposed capacity of FNO. Based on this investigation, we gained insight into the impact of the model architecture on the generalization error and estimated the amount of information about FNO models stored in various types of capacities.","there exist serious mathematical error in proofs, we interchanged supremum and expectation but in general, this does not hold",25
1504.01336v3,1504.01336v2,Symplectic Geometry (math.SG),Generating families and constructible sheaves,"Let $\Lambda$ be a Legendrian in the jet space of some manifold $X$. To a generating family presentation of $\Lambda$, we associate a constructible sheaf on $X \times \mathbb{R}$ whose singular support at infinity is $\Lambda$, and such that the generating family homology is canonically isomorphic to the endomorphism algebra of this sheaf. That is, the theory of generating family homology embeds in sheaf theory, and more specifically in the category studied in [STZ]. When $X = \mathbb{R}$, i.e., for the theory of Legendrian knots and links in the standard contact $\mathbb{R}^3$, we use ideas from the proof of the h-cobordism theorem to show this embedding is an equivalence. Combined with the results of [NRSSZ], this implies in particular that the generating family homologies of a knot are the same as its linearized Legendrian contact homologies.","As pointed out to me by [REDACTED-NAME], the main argument fails to account for higher stable homotopy obstructions to simplifying Morse functions. [REDACTED-NAME] and I are preparing an account of what is actually true. (The arguments showing that sheaves compute generating family invariants are correct, but also can be found in other works.)",23
1107.4494v2,1107.4494v1,Combinatorics (math.CO),An elementary additive doubling inequality,"We prove an elementary additive combinatorics inequality, which says that if $A$ is a subset of an Abelian group, which has, in some strong sense, large doubling, then the difference set A-A has a large subset, which has small doubling.","Withdrawn (permanently!) thanks to [NAME] who both pointed out that the trivial case of the zero difference makes the fourth moment a-priori quite large. Thus the condition, under which the ""theorem"" was claimed (referred to in the Abstract as ""if $A$ is a subset of an Abelian group, which has, in some strong sense, large doubling"") is never satisfied",4
1309.2424v2,1309.2424v1,Quantum Physics (quant-ph),"Some remarks on the ""needle radiation""","It is shown that the classical wave equation is lacking solutions corresponding to the concept of ""needle-radiation"", while the simplest augmented version of the wave equation -- essentially the Klein-Gordon equation -- obtained by adding a linear term, does have such a solution.","This paper has been withdrawn by the author, because Dr. [REDACTED-NAME] called his attention that the solution of Klein-Gordon equation considered belongs to the inhomogeneous equation with a delta-function source at the z-axis, and not to the homogeneous one",7
1207.5888v2,1207.5888v1,Group Theory (math.GR),Ergodic theorems for affine actions of amenable groups on Hilbert space,"We prove a new weak mean ergodic theorem (Theorem A) for 1-cocycles associated to weakly mixing representations of amenable groups. Let $G$ be a finitely generated, discrete, amenable group $G$ which admits a controlled Folner sequence. We use Theorem A to deduce that any affine action $G\ca^T \Cal H$ on Hilbert space with weakly mixing linear part admits a sequence of almost fixed points (Theorem B). Specializing to the case that $G$ is a finitely generated group of polynomial growth, we show that convex combinations of averages of the associated 1-cocycle over $n$-balls provide a sequence of almost fixed points for the action $G\ca^T \Cal H$ (Corollary C). This affirms a weak form of a conjecture of Shalom independently of Gromov's theorem on the virtual nilpotency of groups of polynomial growth. As a consequence, we are able to give a new, elementary, ergodic-theoretical proof of Gromov's theorem.","The paper has been withdrawn. Remark 3.5 is incorrect, and the claim cannot be substantiated",15
1409.7547v2,1409.7547v1,Optimization and Control (math.OC),A new DEA ranking system based on interval Cross Efficiency and interval Analytic Hierarchy Process methods,"The aim of this paper is to present a novel approach for ranking of all DMUs using the interval Cross-Efficiency (ICE) and interval Analytic Hierarchy Process (IAHP) methods. The approach includes two basic stages. In the first stage using DEA models the interval cross-efficiency values of each DMU are specified. In the second stage, the interval pairwise comparison matrix generated in the first stage is utilized to rank the units (DMUs) via the one step process of interval AHP (i.e. the AHP model with interval decision maker judgements). The numerical example is presented in this paper and we compare our approach with some other approaches.",This paper has been withdrawn by the author due to a crucial error in equation 8,17
1407.3947v2,1407.3947v1,Combinatorics (math.CO),The Binomial Transforms of Tribonacci and Tribonacci-Lucas sequences,"In this study, we apply the binomial transforms to Tribonacci and Tribonacci-Lucas sequences. Also, the Binet formulas, summations, generating functions of these transforms are found using recurrence relations. Finally, we illustrate the relation between these transforms by deriving new formulas.",This paper has been withdrawn by the author due to a crucial error in Theorem 2.1,8
1410.7944v2,1410.7944v1,Superconductivity (cond-mat.supr-con),Vortex dynamics and specific heat of type II superconductor with quasi-periodic geometry,"The vortex dynamics and the specific heat of a type II superconducting system with quasi-periodic geometry is studied theoretically for different values of interaction parameters using the numerical simulation technique, where the vortex-vortex interaction potential is considered in the form of the modified Bessel's function of first kind. The dynamics of the system is analysed by phase space trajectories of the vortex for both high and low values as well as for both high and low mismatch of vortex-vortex and vortex-pinning interaction parameters. The specific heat variation with temperature is analysed statistically for different values of interaction parameters. It is observed that for low values and lower mismatch of interaction parameters, the system is highly chaotic and shows a bifurcation pattern similar to Hopf bifurcation. The specific heat also shows a highly divergent character in this situation. However for high values and higher mismatch, the superconducting system tends to be a very regular one. The trajectory of the vortices will also be very stable in this situation. Similar situations are also observed respectively for low and high values of the quasi-periodic parameter.","We want to withdraw this paper, because there is a serious conceptual problem in deriving the equation 6",8
1003.3703v3,1003.3703v2,Mathematical Physics (math-ph),Does Zeeman's Fine Topology Exist?,"We work on the family of topologies for the Minkowski manifold M. We partially order this family by inclusion to form the lattice \Sigma(M), and focus on the sublattice Z of topologies that induce the Euclidean metric space on every time axis and every space axis. We analyze the bounds of Z in the lattice \Sigma(M), in search for its supremum. Our conclusion --that such a supremum does not belong in Z-- is compared with constructive proofs of existence of the fine topology, defined as the maximum of Z and conceived to play an essential role in contemporary physical theories. Essential mathematical and physical questions arise.","This paper has been withdrawn by the author due to a substancial error in equation 25, which does not hold true",22
1812.00349v2,1812.00349v1,Logic in Computer Science (cs.LO),A Logic for Recursive Quantum Programs,"Most modern (classical) programming languages support recursion. Recursion has also been successfully applied to the design of several quantum algorithms and introduced in a couple of quantum programming languages. So, it can be expected that recursion will become one of the fundamental paradigms of quantum programming. Several program logics have been developed for verification of non-recursive quantum programs. However, there are as yet no general methods for reasoning about recursive procedures in quantum computing. We fill the gap in this paper by presenting a logic for recursive quantum programs. This logic is an extension of quantum Hoare logic for quantum While-programs. The (relative) completeness of the logic is proved, and its effectiveness is shown by a running example: fixed-point Grover's search.","There are errors in Section 4, i.e., the definition of quantum predicate terms should be repaired. There are also notational abuses",29
1402.5842v2,1402.5842v1,Analysis of PDEs (math.AP),A weak space-time formulation for the linear stochastic heat equation,"We apply the well-known Banach-Ne{_}as-Babu{_}ka inf-sup theory in a stochastic setting to introduce a weak space-time formulation of the linear stochastic heat equation with additive noise. Both trial and test functions have a stochastic component. We give sufficient conditions on the the data and on the covariance operator associated to the driving Wiener process, in order to have existence and uniqueness of the solution. We also show the relation of the obtained solution to the so-called mild solution and to the variational solution of the same problem. The spatial regularity of the solution is also discussed. Two possible semidiscretizations, first a spatial approximation based on a standard finite element method, then a temporal approximation, based on continuous piecewise linear test functions and piecewise constant trial functions, are finally introduced. Error estimates in terms of the best error and of the quasi-optimality constant are presented for both semidiscretizations.",This paper has been withdrawn by the author due to a crucial inaccuracy in treating the noise term: the formulation presented neglects the noise and reduces to a formulation for a random pde,20
1510.06108v3,1510.06108v2,Systems and Control (eess.SY),A Counter-Example Guided Framework for Robust Synthesis of Switched Systems Using Control Certificates,"In this article, the problem of synthesizing switching controllers is considered through the synthesis of a ""control certificate"". Control certificates include control barrier and Lyapunov functions, which represent control strategies, and allow for automatic controller synthesis. Our approach encodes the controller synthesis problem as quantified nonlinear constraints. We extend an approach called Counterexample Guided Inductive Synthesis (CEGIS), originally proposed for program synthesis problems, to solve the resulting constraints. The CEGIS procedure involves the use of satisfiability-modulo theory (SMT) solvers to automate the problem of synthesizing control certificates. In this paper, we examine generalizations of CEGIS to attempt a richer class of specifications, including reach-while-stay with obstacles and control under disturbances. We demonstrate the ability of our approach to handle systems with nonpolynomial dynamics as well. The abilities of our general framework are demonstrated through a set of interesting examples. Our evaluation suggests that our approach is computationally feasible, and adds to the growing body of formal approaches to controller synthesis.",The paper has been withdrawn by the author. The main reason is incorrect proof of Theorem 4 and some incorrect results in the evaluation parts due to some bugs in the code,13
2109.03003v2,2109.03003v1,Probability (math.PR),Persistence in randomly switched Lotka-Volterra food chains,"We consider a dynamical system obtained by the random switching between $N$ Lotka-Volterra food chains. Our key assumption will be that at least two vector fields only differ on the resources allocated to the growth rate of the first species. We will show that the existence of a positive equilibrium of the average vector field is equivalent to the persistence of all species. Under this condition, the semi-group converges exponentially quickly to a unique invariant probability measure on the positive orthant. On the other hand, if this condition fails to hold, a group of species will become extinct exponentially quickly while the distribution of the remaining species will converge to another invariant probability measure.",There is an error. The proof of Proposition 4.7 isn't correct. Also the rate of extinction of species k+1 in Theorem 2.3 as well as the use of Theorem 2.1 in the proof of it,18
1607.01451v4,1607.01451v3,Differential Geometry (math.DG),Some elementary observations regarding reductive Cartan geometries,"After defining generalizations of the notions of covariant derivatives and geodesics from Riemannian geometry for reductive Cartan geometries in general, various results for reductive Cartan geometries analogous to important elementary results from Riemannian geometry are proven using these generalizations. In particular, a generalization of the Hopf-Rinow theorem is given with a pleasantly concise proof.","I wrote this during my first year as an undergrad, and it does not meet my current quality standards. Also, one central claim appears to be wrong: geodesic completeness might not actually imply completeness",8
1202.5027v3,1202.5027v2,Superconductivity (cond-mat.supr-con),The Superconducting Phases of URu2Si2: Longitudinal Sound Velocity Measurements,"High resolution longitudinal sound velocity measurements in a magnetic field performed in the temperature tending to zero limit reveal two distinct signatures attributable to multiple superconducting phases in URu2Si2. A step change in the sound velocity, for propagation in the basal plane, is observed at the critical field, Bc2. This step broadens considerably as T tends to Tc with a concomitant decrease in magnitude. A second step is observed at a field ~0.5 Bc2 and it's magnitude remains constant at all temperatures. Inductive measurements of the transitions in a magnetic field, however, exhibit a single signature which coincides with the lower step with no discernible in-phase signature at the upper transition. Measurements performed with B oriented at various angles between the a and c-axes reveal a weaker angular dependence of the lower step and confirm the rapid fall off of Bc2 close to B||c-axis. An off axis superconducting phase diagram is proposed.",This article has been withdrawn. The observed mutual inductance change coincided with the lower transition which should have been interpreted as the upper critical field. The conclusions of the article were subject to the questionable assumption that a dissipative part of the mutual inductance signal (not measured) could be present.,12
1101.4526v2,1101.4526v1,Operator Algebras (math.OA),On the Positivstellensatz for Enveloping Algebras,We use Reznick's Theorem for positive homogeneous polynomials to prove an elliptic regularity result for representations of enveloping algebras of Lie algebras. This allows us to relax a technical condition for a sum of squares decomposition for representations of these algebras.,This paper has been withdrawn by the author due to an incorrect assumption concerning the centers of enveloping algebras,13
1508.01237v2,1508.01237v1,Analysis of PDEs (math.AP),"An $L^p-$Sobolev Inequality, $p<1$","Original Abstract:
----
In this paper we show the somewhat surprising result that in two or more dimensions the classical Sobolev inequality persists for exponents $p<1$. This sharpens the known inequalities for the Riesz potentials mapping the real Hardy spaces, demonstrating that while these spaces are an appropriate replacement for $L^p$ to guarantee the boundedness of a wide class of singular integral (zeroth order) operators for $p<1$, the presence of fractional integration allows for the possibility of an improvement.
------
My thanks to a researcher who contacted me concerning the estimate and for ongoing discussions that brought the issue to light.  Interestingly the result is related to a paper and a technical report of Jaak Peetre made aware to me by Mario Milman, Michael Cwikel, and Gunnar Spaar after posting this article.  Peetre obtains for Besov spaces B^{s,p}, $p<1$ a similar embedding in one dimension, while the lower bound of where he claims such a result is possible is precisely what I obtain in this article.  So I still believe the result to be true, but it needs another proof!  My apologies for any inconvenience to possibly interested readers.  Please contact me if you are interested in further discussion though!","This paper has been withdrawn due to a dependency error - in the proof there is an epsilon chosen to depend on $x$, the choice of which occurs after some manipulation of Riesz potentials that amounts to integration by parts in $x$. Where there is integration by parts, noting the dependency of epsilon on $x$, one must utilize some sort of chain rule to fix the mistake",9
1411.1575v2,1411.1575v1,K-Theory and Homology (math.KT),"Twisted K-homology,Geometric cycles and T-duality","Twisted $K$-homology corresponds to $D$-branes in string theory. In this paper we compare two different models of geometric twisted $K$-homology and get their equivalence. Moreover, we give another description of geometric twisted $K$-homology using bundle gerbes. We establish some properties of geometric twisted $K$-homology and show that it satisfies Elienberg-Steenrod axioms directly. In the last part we construct $T$-duality isomorphism for geometric twisted $K$-homology.",This paper has been withdrawn by the author due to a mistake in the proof of Theorem 4.5,23
2302.09620v2,2302.09620v1,Artificial Intelligence (cs.AI),Jointly Complementary&Competitive Influence Maximization with Concurrent Ally-Boosting and Rival-Preventing,"In this paper, we propose a new influence spread model, namely, Complementary\&Competitive Independent Cascade (C$^2$IC) model. C$^2$IC model generalizes three well known influence model, i.e., influence boosting (IB) model, campaign oblivious (CO)IC model and the IC-N (IC model with negative opinions) model. This is the first model that considers both complementary and competitive influence spread comprehensively under multi-agent environment. Correspondingly, we propose the Complementary\&Competitive influence maximization (C$^2$IM) problem. Given an ally seed set and a rival seed set, the C$^2$IM problem aims to select a set of assistant nodes that can boost the ally spread and prevent the rival spread concurrently. We show the problem is NP-hard and can generalize the influence boosting problem and the influence blocking problem. With classifying the different cascade priorities into 4 cases by the monotonicity and submodularity (M\&S) holding conditions, we design 4 algorithms respectively, with theoretical approximation bounds provided. We conduct extensive experiments on real social networks and the experimental results demonstrate the effectiveness of the proposed algorithms. We hope this work can inspire abundant future exploration for constructing more generalized influence models that help streamline the works of this area.",proof is wrong in the time complexity analysis,14
1801.04694v2,1801.04694v1,Analysis of PDEs (math.AP),Incompressible inviscid resistive MHD surface waves in 2D,"We consider the dynamics of a layer of an incompressible electrically conducting fluid interacting with the magnetic field in a two-dimensional horizontally periodic setting. The upper boundary is in contact with the atmosphere, and the lower boundary is a rigid flat bottom. We prove the global well-posedness of the inviscid and resistive problem with surface tension around a non-horizontal uniform magnetic field; moreover, the solution decays to the equilibrium almost exponentially. One of the key observations here is an induced damping structure for the fluid vorticity due to the resistivity and transversal magnetic field.","The Dirichlet boundary condition $B=\bar B$ imposed for the magnetic field is not proper, and it should be replaced by the jump condition where the magnetic field in vacuum is involved, that is, one should consider the full plasma-vacuum interface model when considering the resistive MHD",36
1506.03412v2,1506.03412v1,Machine Learning (cs.LG),Convergence rates for pretraining and dropout: Guiding learning parameters using network structure,"Unsupervised pretraining and dropout have been well studied, especially with respect to regularization and output consistency. However, our understanding about the explicit convergence rates of the parameter estimates, and their dependence on the learning (like denoising and dropout rate) and structural (like depth and layer lengths) aspects of the network is less mature. An interesting question in this context is to ask if the network structure could ""guide"" the choices of such learning parameters. In this work, we explore these gaps between network structure, the learning mechanisms and their interaction with parameter convergence rates. We present a way to address these issues based on the backpropagation convergence rates for general nonconvex objectives using first-order information. We then incorporate two learning mechanisms into this general framework -- denoising autoencoder and dropout, and subsequently derive the convergence rates of deep networks. Building upon these bounds, we provide insights into the choices of learning parameters and network sizes that achieve certain levels of convergence accuracy. The results derived here support existing empirical observations, and we also conduct a set of experiments to evaluate them.",The paper has been withdrawn due to an error in the proof of theorem 3.1,25
1909.00965v2,1909.00965v1,Number Theory (math.NT),The distribution of arithmetic functions of general random integers,"We consider very general ""random integers"" and (attempt to) prove that many multiplicative and additive functions of such integers have limiting distributions. These integers include, for instance, the curvatures of Apollonian circle packings, trace of Frobenius elements for elliptic curves, the Ramanujan tau-function, Mersenne numbers, and many others.",Fatal error in the proof of Th. 1.7; much stronger assumptions are required to obtain limiting distributions,28
